countryname,iso_alpha3,countrynumericcode,regionalbureau,regionalmission,regionalmissioncode,usaidpresencetype,bilateralmission,nonpresencecountry,stip,cityofbilateralmission,latitude,longitude
Montenegro,MNE,499,Europe and Eurasia,Regional Service Center,RSC,1,1,0,0,Podgorica,42.442574,19.268646
Montserrat,MSR,500,,,,3,,,,,,
Morocco,MAR,504,Middle East,Office of Middle East Programs,OMEP,1,1,0,0,Rabat,34.015049,-6.8327198
Mozambique,MOZ,508,Africa,Southern Africa,SA,1,1,0,1,Maputo,-25.966667,32.583332
Oman,OMN,512,,,,3,,,,,,
Namibia,NAM,516,Africa,Southern Africa,SA,1,1,0,0,Windhoek,-22.558905,17.082481
Nauru,NRU,520,Asia,Pacific Islands,PI,2,0,1,0,,,
Nepal,NPL,524,Asia,,,1,1,0,0,Kathmandu,27.700001,85.333336
Netherlands,NLD,528,,,,3,,,,,,
Netherlands Antilles,ANT,530,,,,3,,,,,,
Aruba,ABW,533,,,,3,,,,,,
New Caledonia,NCL,540,,,,3,,,,,,
Vanuatu,VUT,548,Asia,Pacific Islands,PI,2,0,1,0,,,
New Zealand,NZL,554,,,,3,,,,,,
Nicaragua,NIC,558,Latin America and the Carribean,Central America,CA,1,1,0,0,Managua,12.136389,-86.251389
Niger,NER,562,Africa,West Africa,WA,1,1,0,0,Niamey,13.512668,2.1125159
Nigeria,NGA,566,Africa,West Africa,WA,1,1,0,0,Abuja,9.0666666,7.4833331
Niue,NIU,570,,,,3,,,,,,
Norfolk Island,NFK,574,,,,3,,,,,,
Norway,NOR,578,,,,3,,,,,,
Northern Mariana Islands,MNP,580,,,,3,,,,,,
Federated States of Micronesia,FSM,583,Asia,Pacific Islands,PI,2,0,1,0,,,
Marshall Islands,MHL,584,Asia,Pacific Islands,PI,2,0,1,0,,,
Palau,PLW,585,Asia,Pacific Islands,PI,2,0,1,0,,,
Pakistan,PAK,586,Afghanistan and Pakistan,,,1,1,0,1,Islamabad,33.718151,73.060547
Panama,PAN,591,Latin America and the Carribean,Central America,CA,1,1,0,0,Panama City,8.9942694,-79.518791
Papua New Guinea,PNG,598,Asia,Pacific Islands,PI,1,1,0,0,Port Moresby,-9.4815531,147.19025
Paraguay,PRY,600,Latin America and the Carribean,South America Regional Program,SARP,1,1,0,0,Asuncion,-25.282198,-57.635101
Peru,PER,604,Latin America and the Carribean,South America Regional Program,SARP,1,1,0,1,Lima,-12.047816,-77.062202
Philippines,PHL,608,Asia,,,1,1,0,1,Manila,14.599512,120.98422
Pitcairn Islands,PCN,612,,,,3,,,,,,
Poland,POL,616,,,,3,,,,,,
Portugal,PRT,620,,,,3,,,,,,
Guinea-Bissau,GNB,624,,,,3,,,,,,
Timor-Leste,TLS,626,Asia,,,1,1,0,0,Dili,-8.5584583,125.57815
Puerto Rico,PRI,630,,,,3,,,,,,
Qatar,QAT,634,,,,3,,,,,,
Reunion,REU,638,,,,3,,,,,,
Romania,ROU,642,,,,3,,,,,,
Russia,RUS,643,Europe and Eurasia,,,1,1,0,0,Moscow,55.755825,37.617298
Rwanda,RWA,646,Africa,East Africa,EA,2,0,1,0,,,
St Helena,SHN,654,,,,3,,,,,,
St Kitts and Nevis,KNA,659,Latin America and the Carribean,Barbados and Easter Caribbean,EC,2,0,1,0,,,
Anguilla,AIA,660,,,,3,,,,,,
St Lucia,LCA,662,Latin America and the Carribean,Barbados and Easter Caribbean,EC,2,0,1,0,,,
St Pierre and Miquelon,SPM,666,,,,3,,,,,,
St Vincent and the Grenadines,VCT,670,Latin America and the Carribean,Barbados and Easter Caribbean,EC,2,0,1,0,,,
San Marino,SMR,674,,,,3,,,,,,
Sao Tome and Principe,STP,678,,,,3,,,,,,
Saudi Arabia,SAU,682,,,,3,,,,,,
Senegal,SEN,686,Africa,West Africa,WA,1,1,0,0,Dakar,14.764504,-17.36603
Serbia,SRB,688,Europe and Eurasia,Regional Service Center,RSC,1,1,0,0,Belgrade,44.820557,20.462221
Seychelles,SYC,690,,,,3,,,,,,
Sierra Leone,SLE,694,Africa,West Africa,WA,1,1,0,0,Freetown,8.4841461,-13.22867
Singapore,SGP,702,,,,3,,,,,,
Slovakia,SVK,703,,,,3,,,,,,
Vietnam,VNM,704,Asia,,,1,1,0,0,Hanoi,21.033333,105.85
Slovenia,SVN,705,,,,3,,,,,,
Somalia,SOM,706,Africa,East Africa,EA,2,0,1,0,,,
South Africa,ZAF,710,Africa,Southern Africa,SA,1,1,0,1,Pretoria,-25.73134,28.21837
Zimbabwe,ZWE,716,Africa,Southern Africa,SA,1,1,0,0,Harare,-17.82922,31.053961
Spain,ESP,724,,,,3,,,,,,
Western Sahara,ESH,732,,,,3,,,,,,
Sudan,SDN,736,Africa,,,1,1,0,0,Khartoum,15.550101,32.532242
Suriname,SUR,740,Latin America and the Carribean,Barbados and Easter Caribbean,EC,2,0,1,0,,,
Svalbard,SJM,744,,,,3,,,,,,
Swaziland,SWZ,748,Africa,Southern Africa,SA,2,0,1,0,,,
Sweden,SWE,752,,,,3,,,,,,
Switzerland,CHE,756,,,,3,,,,,,
